Unnamed: 0,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
12614.0,34.0,Private,198183.0,Bachelors,13.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,50.0,United-States,<=50K
36010.0,40.0,Federal-gov,199303.0,Assoc-acdm,12.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
8137.0,49.0,Self-emp-not-inc,164495.0,Assoc-acdm,12.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,35.0,Germany,<=50K
43547.0,46.0,Private,192835.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,48.0,United-States,<=50K
41749.0,27.0,Private,209891.0,Some-college,10.0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0.0,0.0,50.0,United-States,<=50K
34025.0,41.0,Private,150755.0,Doctorate,16.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,50.0,Canada,>50K
7643.0,47.0,Local-gov,188537.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,60.0,United-States,>50K
13059.0,30.0,Local-gov,295737.0,HS-grad,9.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
1593.0,54.0,?,120781.0,Doctorate,16.0,Married-spouse-absent,?,Unmarried,Asian-Pac-Islander,Male,0.0,0.0,20.0,India,<=50K
161.0,32.0,Private,136921.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
6169.0,55.0,Private,243367.0,HS-grad,9.0,Divorced,Sales,Unmarried,White,Female,0.0,0.0,37.0,United-States,<=50K
8319.0,44.0,Private,107433.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,55.0,United-States,>50K
42294.0,22.0,Self-emp-not-inc,197387.0,HS-grad,9.0,Never-married,Farming-fishing,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
20929.0,26.0,Private,195994.0,Some-college,10.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,15.0,United-States,<=50K
10673.0,17.0,?,45037.0,10th,6.0,Never-married,?,Own-child,White,Female,0.0,0.0,25.0,United-States,<=50K
30766.0,33.0,Local-gov,269604.0,5th-6th,3.0,Never-married,Other-service,Unmarried,Other,Female,0.0,0.0,40.0,El-Salvador,<=50K
37879.0,24.0,Private,291407.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
18086.0,50.0,State-gov,211319.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,38.0,United-States,<=50K
35189.0,55.0,Private,284095.0,HS-grad,9.0,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,37.0,United-States,<=50K
24374.0,29.0,Private,132686.0,HS-grad,9.0,Divorced,,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
26126.0,23.0,Private,45317.0,Some-college,10.0,Separated,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
15019.0,35.0,Private,212512.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
6201.0,23.0,Private,126613.0,Bachelors,13.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
6457.0,64.0,State-gov,152537.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
9940.0,42.0,Private,89226.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,7688.0,0.0,40.0,Greece,>50K
15325.0,47.0,Self-emp-not-inc,267879.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,3103.0,0.0,50.0,United-States,>50K
12192.0,61.0,Private,258775.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,4386.0,0.0,40.0,United-States,>50K
34654.0,31.0,Private,265706.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,7298.0,0.0,40.0,United-States,>50K
8892.0,39.0,Private,102865.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
4631.0,26.0,Private,666014.0,Bachelors,13.0,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,50.0,United-States,<=50K
